STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp,MonthlyAverageRH,MonthlyDewpointTemp,MonthlyWetBulbTemp,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall,MonthlyDeptFromNormalMaximumTemp,MonthlyDeptFromNormalMinimumTemp,MonthlyDeptFromNormalAverageTemp,MonthlyDeptFromNormalPrecip,MonthlyTotalLiquidPrecip,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT32Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT1Snow,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureDate,MonthlyMaxSeaLevelPressureTime,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureDate,MonthlyMinSeaLevelPressureTime,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyDeptFromNormalHeatingDD,MonthlyDeptFromNormalCoolingDD,MonthlyTotalSeasonToDateHeatingDD,MonthlyTotalSeasonToDateCoolingDD
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2016-01-01 00:54,FM-15,OVC:08 40,10.00,,39,3.9,34,1.1,26,-3.3,60,11,250,21,29.95,8,,29.98,0.00,29.98,,,,,,,,,,0713,1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2016-01-01 01:00,FM-12,41,,,39,3.9,34,1.1,26,-3.3,60,11,250,,29.96,8,+0.03,29.98,,,47,35,41,10.8,,,,24,0,0713,1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2016-01-01 01:54,FM-15,OVC:08 42,10.00,,39,3.9,34,1.1,26,-3.3,60,15,260,22,29.95,,,29.98,0.00,29.98,,,,,,,,,,0713,1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2016-01-01 02:54,FM-15,OVC:08 44,10.00,,38,3.3,34,1.0,27,-2.8,65,7,240,,29.95,,,29.98,0.00,29.98,,,,,,,,,,0713,1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2016-01-01 03:54,FM-15,OVC:08 43,10.00,,37,2.8,33,0.7,27,-2.8,67,9,230,,29.94,8,,29.97,0.00,29.97,,,,,,,,,,0713,1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2016-01-01 04:00,FM-12,41,,,37,2.8,33,0.7,27,-2.8,67,9,230,,29.95,8,+0.01,29.97,,,,,,,,,,,,0713,1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2016-01-01 04:54,FM-15,OVC:08 44,10.00,,38,3.3,33,0.8,26,-3.3,62,9,250,17,29.93,,,29.96,0.00,29.96,,,,,,,,,,0713,1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2016-01-01 05:54,FM-15,OVC:08 43,10.00,,37,2.8,33,0.5,26,-3.3,65,10,230,,29.94,,,29.97,0.00,29.97,,,,,,,,,,0713,1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2016-01-01 06:54,FM-15,OVC:08 47,10.00,,36,2.2,32,0.1,26,-3.3,67,11,240,,29.94,6,,29.96,0.00,29.97,,,,,,,,,,0713,1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2016-01-01 07:00,FM-12,41,,,36,2.2,32,0.1,26,-3.3,67,11,240,,29.95,6,+0.00,29.96,,,47,36,42,11.8,,,,23,0,0713,1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2016-01-01 07:54,FM-15,FEW:02 49 SCT:04 110 BKN:07 250,10.00,,36,2.2,32,0.0,25,-3.9,64,9,250,,29.94,,,29.97,0.00,29.97,,,,,,,,,,0713,1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2016-01-01 08:54,FM-15,OVC:08 49,10.00,,38,3.3,33,0.8,26,-3.3,62,13,250,21,29.95,,,29.98,0.00,29.98,,,,,,,,,,0713,1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2016-01-01 09:54,FM-15,OVC:08 47,10.00,,39,3.9,34,0.9,25,-3.9,57,13,250,20,29.95,1,,29.98,0.00,29.98,,,,,,,,,,0713,1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2016-01-01 10:00,FM-12,41,,,39,3.9,34,1.0,25,-3.9,57,13,250,,29.96,1,-0.01,29.98,,,,,,,,,,,,0713,1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2016-01-01 10:54,FM-15,BKN:07 43 BKN:07 50,10.00,,40,4.4,34,1.3,25,-3.9,55,10,280,,29.92,,,29.95,0.00,29.95,,,,,,,,,,0713,1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2016-01-01 11:54,FM-15,SCT:04 45 SCT:04 250,10.00,,41,5.0,35,1.6,25,-3.9,53,15,260,24,29.89,,,29.92,0.00,29.92,,,,,,,,,,0713,1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
