Year,Month,Event Date and Time,Restoration Date and Time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected
2016,1,01/10/2016  8:46 PM,01/11/2016  5:25 AM,"8 Hours, 39 Minutes",ISO New England,NPCC,Maine: Connecticut: Massachusetts: Vermont: New Hampshire: Rhode Island:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,59859
2016,1,01/22/2016  3:52 PM,01/24/2016 12:30 PM,"44 Hours, 38 Minutes",Duke Energy Progress,SERC,North Carolina: South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,150000
2016,1,01/23/2016  7:49 AM,01/23/2016  9:05 AM,"1 Hours, 16 Minutes",FirstEnergy Corp. Jersey Central Power & Light,RFC,New Jersey:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,50900
2016,2,02/05/2016 11:21 AM,02/06/2016  3:48 PM,"28 Hours, 27 Minutes",ISO New England,NPCC,Connecticut: Massachusetts: Rhode Island:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,115057
2016,2,02/13/2016 12:44 PM,02/13/2016  4:27 PM,"3 Hours, 43 Minutes",Pacific Gas & Electric Co,SERC,California,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Islanding,7,4300
2016,2,02/16/2016  8:35 AM,02/16/2016  5:28 PM,"8 Hours, 53 Minutes","American Electric Power - (RFC Reliability Region) (8400 Smiths Mill Road, New Albany Ohio 43054)",RFC,"Virginia: Roanoke County, Montgomery County; West Virginia: Kanawha County, Cabell County; Tennessee: Sullivan County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,52640
2016,2,02/19/2016 10:00 PM,02/20/2016 11:13 PM,"25 Hours, 13 Minutes",Detroit Edison Co,RFC,Michigan,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,145314
2016,2,02/24/2016  2:45 PM,02/25/2016  5:00 AM,"14 Hours, 15 Minutes",Duke Energy Carolinas,SERC,North Carolina: South Carolina,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",400,284610
2016,2,02/25/2016  1:44 AM,02/25/2016  2:45 PM,"13 Hours,  1 Minutes",ISO New England,NPCC,Connecticut: Maine: Massachusetts: Rhode Island: Vermont:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,114190
2016,2,02/26/2016 12:01 AM,ongoing,ongoing,California Department of Water Resources,WECC,California: San Bernardino County,Fuel supply emergencies that could impact electric power system adequacy or reliability-Fuel Supply Deficiency,0,0
2016,3,03/01/2016  3:00 PM,ongoing,ongoing,Puget Sound Energy,WECC,"Washington: King County, Whatcom County, Kitsap County, Skagit County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,56000
2016,3,03/03/2016 11:00 AM,04/16/2016  7:47 PM,"1,064 Hours, 47 Minutes",California Department of Water Resources,WECC,California: San Bernardino County;,Fuel supply emergencies that could impact electric power system adequacy or reliability-Fuel Supply Deficiency,0,0
2016,3,03/23/2016  5:00 AM,03/25/2016 11:59 PM,"66 Hours, 59 Minutes",Xcel Energy/Public Service Company of Colorado,WECC,"Colorado: Denver, City and County of[12];","Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",0,0
2016,4,04/02/2016 11:08 AM,04/02/2016 11:33 AM,"0 Hours, 25 Minutes",California Department of Water Resources,WECC,California,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident-System Operations,360,0
2016,4,04/18/2016  5:05 AM,04/20/2016  7:55 AM,"50 Hours, 50 Minutes",CenterPoint Energy,TRE,Texas: Harris County,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,415103
2016,4,04/27/2016  5:50 AM,04/28/2016  1:35 AM,"19 Hours, 45 Minutes",CenterPoint Energy,TRE,Texas: Harris County,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,214864
